Survey Question,Label
How often do you use unique passwords for each work-related account?,Q1
Do you use a password manager for work accounts?,Q2
How confident are you in creating strong passwords?,Q3
Have you received cybersecurity training on how to recognize phishing emails?,Q4
How confident are you in identifying phishing attempts?,Q5
What would you do if you received an unexpected email requesting sensitive info?,Q6
How often do you use 2FA for work accounts?,Q7
Do you ensure your devices antivirus software is up-to-date before remote work?,Q8
Have you ever worked on public Wi-Fi without security measures?,Q9
How often do you read cybersecurity updates or newsletters?,Q10
Do you regularly back up your work data?,Q11
How confident are you in following secure practices during video conferences?,Q12
Have you received real-time feedback when performing a risky action?,Q13
Do real-time alerts help reinforce safe work practices?,Q14
How often do you act immediately on real-time security warnings?,Q15
What type of interactive training do you prefer most?,Q16
How effective are interactive scenarios in helping you learn?,Q17
Do rewards motivate you to complete training modules?,Q18
How relevant do you find training examples to your work culture?,Q19
Would localized training examples increase your engagement?,Q20
Do language differences impact your understanding of training?,Q26
Would you prefer training content adapted to your role and responsibilities?,Q22
Do you think training that evolves based on previous performance is more effective?,Q23
How useful do you think personalized content is for your training needs?,Q24
Would you benefit from follow-up sessions focused on your training challenges?,Q25
